,Faculty,Course,A,A-,B,B-,C,C-,D,W,F,Popularity_score,Difficulty_score,Difficulty_Level
111,Ази судлалын тэнхим,Солонгосын уран зохиолын удиртгал,0.5,1.0,2.0,1.0,0.5,0.5,0.0,3.0,0.0,8.5,2.8529411764705883,2
112,Ази судлалын тэнхим,Солонгосын эдийн засаг,2.0,3.0,1.0,0.5,0.0,0.0,1.5,1.0,0.0,9.0,3.6944444444444446,1
113,Ази судлалын тэнхим,Соёлын утгын орчуулга зүй,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,4.5,0
114,Ази судлалын тэнхим,Судалгааны солонгос хэл 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
115,Ази судлалын тэнхим,Судалгааны хятад хэл 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,6.0,0
116,Ази судлалын тэнхим,Судалгааны хятад хэл 2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
117,Ази судлалын тэнхим,Судалгааны япон хэл 1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
118,Ази судлалын тэнхим,Судалгааны япон хэл 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
119,Ази судлалын тэнхим,Сурвалжийн хятад хэл,0.0,0.6666666666666666,8.0,0.6666666666666666,1.0,1.3333333333333333,0.0,2.0,0.0,13.666666666666666,3.3414634146341466,2
120,Ази судлалын тэнхим,Сэтгэц хэл шинжлэл              ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,0
121,Ази судлалын тэнхим,Танихуйн утга зүй,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,4.0,1
122,Ази судлалын тэнхим,Танихуйн хэл шинжлэл,3.0,0.5,5.25,2.0,0.0,0.0,0.0,0.0,0.0,10.75,4.209302325581396,1
123,Ази судлалын тэнхим,Танихуйн хэл шинжлэл*,6.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,9.0,4.875,0
124,Ази судлалын тэнхим,Толь зүй,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.5,4.2,1
125,Ази судлалын тэнхим,Турк хэл (Ерөнхий суурь),9.5,9.0,3.5,3.25,1.5,0.25,0.5,2.75,0.75,31.0,4.066115702479339,1
126,Ази судлалын тэнхим,Турк хэл 1 ,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.083333333333333,1
127,Ази судлалын тэнхим,Турк хэл 1 (Ерөнхий суурь),3.5,2.5,1.6666666666666667,1.5,0.8333333333333334,0.5,0.3333333333333333,3.1666666666666665,0.0,14.0,3.4464285714285703,1
128,Ази судлалын тэнхим,Турк хэл 2 ,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.333333333333333,0
129,Ази судлалын тэнхим,Турк хэл 2 (Ерөнхий суурь),2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,3.7222222222222223,1
130,Ази судлалын тэнхим,Турк хэлний бичгийн орчуулга,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.25,0
131,Ази судлалын тэнхим,Турк хэлний бичгийн хэл,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,4.5,0
132,Ази судлалын тэнхим,"Турк хэлний унших, бичих дадал- 1",0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5,4.0,1
133,Ази судлалын тэнхим,"Турк хэлний унших, бичих дадал-2",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.375,0
134,Ази судлалын тэнхим,"Турк хэлний унших, бичих дадал-3",2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.6875,0
135,Ази судлалын тэнхим,Турк хэлний хэлзүй-1,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,3.0,4.2,1
136,Ази судлалын тэнхим,Турк хэлний хэлзүй-2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.25,0
137,Ази судлалын тэнхим,Турк хэлний хэлзүй-3,1.5,1.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,5.0,4.3,0
138,Ази судлалын тэнхим,Турк хэлний ярианы хэл,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333,4.038461538461538,1
139,Ази судлалын тэнхим,"Турк хэлний ярих, сонсох дадал-1",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,4.4,0
140,Ази судлалын тэнхим,"Турк хэлний ярих, сонсох дадал-2",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0
141,Ази судлалын тэнхим,"Турк хэлний ярих, сонсох дадал-3",2.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,4.611111111111111,0
142,Ази судлалын тэнхим,Туркийн эдийн засгийн газарзүй,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0
143,Ази судлалын тэнхим,Туркийн эдийн засгийн газарзүй*,2.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,4.0,4.375,0
144,Ази судлалын тэнхим,Түрк хэлний хэлмэрчлэхүй,3.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,6.0,4.666666666666667,0
145,Ази судлалын тэнхим,"Түрк хэлний яриа, бичгийн хэл",2.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.55,0
146,Ази судлалын тэнхим,Түркийн нийгэм соёл,3.6666666666666665,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,4.833333333333333,4.637931034482758,0
147,Ази судлалын тэнхим,"Түркийн улс төр, гадаад харилцаа",1.6666666666666667,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,3.6666666666666665,4.227272727272727,1
148,Ази судлалын тэнхим,Түрэг угсаат улсуудын түүх,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1
149,Ази судлалын тэнхим,"Түрэг хэл, аялгуу",2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,0
150,Ази судлалын тэнхим,Түрэгийн түүх,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.916666666666667,0
151,Ази судлалын тэнхим,Түрэгийн угсаатны зүй,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1
152,Ази судлалын тэнхим,Түрэгийн уран зохиолын удиртгал,2.1666666666666665,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,3.1666666666666665,4.657894736842105,0
153,Ази судлалын тэнхим,Угсаа хэл шинжлэл,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,4.5,0
154,Ази судлалын тэнхим,Уран зохиолын орчуулга судлал,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
155,Ази судлалын тэнхим,Франц хэлний нэр томъёоны орчуулга,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0
156,Ази судлалын тэнхим,Франц хэлний уран зохиолын орчуулга,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1
